_id,propertyAddress,propertyType,propertyWard,InspectionThread,,INSPECTIONS_OPENDATE,INSPECTIONS_CLOSEDDATE,VIOLATIONS_ITEM_NUMBER,Violation_Yes_No
3583715,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,9,Yes
3583716,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,10,Yes
3583717,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,11,Yes
3583718,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,12,Yes
3583719,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,13,Yes
3583720,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,14,Yes
3583721,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,15,Yes
3583722,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,16,Yes
3583723,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,17,Yes
3583724,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,18,Yes
3583725,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,19,Yes
3583726,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,20,Yes
3583727,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,21,Yes
3583728,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,22,Yes
3583729,43 Hanna Ave,High Rise,10,_6dba0E5BC139B2C,,2021-04-12,2022-06-01,23,Yes
3583730,60 Esther Lorrie Dr,High Rise,1,_6dba3C8D39F935A,,2021-04-09,2021-05-20,0,No
3583731,10 Eddystone Ave,Low Rise,7,_6dbe31C7311FCAD,,2021-04-29,,1,Yes
3583732,10 Eddystone Ave,Low Rise,7,_6dbe31C7311FCAD,,2021-04-29,,2,Yes
3583733,61 Heintzman St,High Rise,4,_6dbe4012E787ECD,,2021-04-12,2021-04-12,0,No
3583734,1501 Woodbine Ave,High Rise,19,_6dbe40815AA300D,,2021-04-14,2021-04-16,0,No
3583735,181 Village Green Sq,High Rise,22,_6dbe432A940B7F4,,2021-04-14,2021-04-20,0,No
3583736,600 Eglinton Ave W,Low Rise,8,_6dbe43ED83EE24F,,2021-04-12,2021-10-07,1,Yes
3583737,600 Eglinton Ave W,Low Rise,8,_6dbe43ED83EE24F,,2021-04-12,2021-10-07,2,Yes
3583738,600 Eglinton Ave W,Low Rise,8,_6dbe43ED83EE24F,,2021-04-12,2021-10-07,3,Yes
3583739,1883 McNicoll Ave,High Rise,22,_6dbe48B86040805,,2021-04-14,2021-04-16,0,No
3583740,273 Pharmacy Ave,High Rise,20,_6dbe4BC03184211,,2021-04-13,2021-04-13,0,No
3583741,955 Millwood Rd,Low Rise,15,_6dbe4DD763E383A,,2021-04-12,2021-05-07,0,No
3583742,3000 Bathurst St,High Rise,8,_6dbe514E4239546,,2021-04-12,2021-05-11,1,Yes
3583743,500 Dawes Rd,High Rise,19,_6dbe533B511D83E,,2021-04-15,2021-06-29,1,Yes
3583744,62 Dawes Rd,Low Rise,19,_6dbe564B791251B,,2021-04-13,2021-08-23,1,Yes
3583745,62 Dawes Rd,Low Rise,19,_6dbe564B791251B,,2021-04-13,2021-08-23,2,Yes
3583746,2050 Jane St,Detention,5,_6dbe5C08DA38B7E,,2021-04-19,2021-04-20,0,No
3583747,455 Rosewell Ave,Low Rise,8,_6dbe659EC4E9EC3,,2021-04-14,2021-04-19,0,No
3583748,83 Redpath Ave,High Rise,12,_6dbe666FBAD2300,,2021-04-22,2021-06-01,0,No
3583749,2737 Keele St,High Rise,6,_6dbe7DD53927DEE,,2021-04-12,2021-10-04,1,Yes
